Date,Revenue,Black_Friday,Promo,Spikes,WEI,SP500,Brand,NoneBrand,Google_Brand.Cost,Google_Brand.Impression,Google_NonBrand.Cost,Google_NonBrand.Impression,Google_Pmax.Cost,Google_Pmax.Impression,Google_Shopping.Cost,Google_Shopping.Impression,Meta_Prospecting.Cost,Meta_Prospecting.Impression,Meta_Retargeting.Cost,Meta_Retargeting.Impression,Meta_Retention.Cost,Meta_Retention.Impression,Pinterest.Cost,Pinterest.Impression
2025-01-02,64956.10,0,0,0,1.98,5899.9,59,83,100.978957,1669,567.497608,81825,560.274449,12799,0,0,0,0,0,0,0,0,921.721499,570429
2025-01-09,56933.31,0,0,0,2.28,5907.4,42,73,117.478547,1716,437.634925,29270,759.698745,15802,0,0,0,0,0,0,0,0,1053.019884,796787
2025-01-16,63614.33,0,0,0,2.8,5912.6,52,70,282.475846,1750,569.289724,35477,941.164851,16716,0,0,0,0,0,0,0,0,1145.612618,745984
2025-01-23,33200.00,0,0,0,2.79,6088.9,92,66,588.574802,2872,772.855291,20863,1897.722148,81353,0,0,0,0,0,0,0,0,1576.778778,767474
2025-01-30,70335.00,0,0,0,2.4,6046.2,45,70,1053.69105,2293,580.116256,11852,2266.603727,243477,0,0,0,0,0,0,0,0,1570.565119,797918
2025-02-06,51836.90,0,0,0,2.55,6040.7,76,66,1119.277306,2809,638.522249,15477,1436.561615,99623,0,0,0,0,0,0,0,0,1576.747402,798699
2025-02-13,51577.00,0,0,0,2.51,6083.3,58,78,744.752817,2472,88.738994,2581,998.826424,135440,0,0,0,0,0,0,0,0,1563.658928,801947
2025-02-20,46310.00,0,0,0,2.43,6101.1,84,61,372.102153,1670,47.932326,748,510.7106,51551,0,0,0,0,0,0,0,0,1355.732943,648458
2025-02-27,62393.00,0,0,0,2.26,5942.1,74,64,439.214555,1718,386.30866,4224,507.0255,12575,0,0,0,0,0,0,0,0,1077.237232,548777
2025-03-06,70827.50,0,0,0,2.61,5795.8,67,68,707.958313,1474,545.00462,3008,977.621634,3881,0,0,0,0,0,0,0,0,1619.801109,803799
2025-03-13,44512.50,0,0,0,2.34,5589.3,0,63,964.52117,1479,537.104101,3366,1787.267941,32268,0,0,0,0,0,0,0,0,1993.575426,859055
2025-03-20,111566.60,0,0,1,2.09,5659.1,100,64,949.357344,1552,471.638824,3302,1557.965174,30990,0,0,0,0,0,0,0,0,2442.717325,972362
2025-03-27,58825.00,0,0,0,2.29,5706.1,0,67,775.209452,1210,529.836768,5265,1427.942058,20787,0,0,0,0,0,0,0,0,2297.333609,937407
2025-04-03,71683.20,0,0,0,3.08,5477.3,60,61,748.785896,1148,537.201111,2183,1291.252395,18281,0,0,0,0,0,0,0,0,1301.664975,727656
2025-04-10,94947.40,0,0,0,2.58,5226.7,77,67,692.749533,973,494.987123,2380,1371.017983,16875,0,0,0,0,0,0,0,0,890.160215,448120
2025-04-17,85492.00,0,0,0,2.67,5340.3,71,64,661.98033,1056,440.803773,2092,1263.499831,14002,0,0,0,0,0,0,0,0,841.593008,385694
2025-04-24,79263.00,0,0,0,2.33,5366.4,39,67,416.520114,700,318.498881,1687,946.650803,9072,0,0,0,0,0,0,0,0,840.681748,300694
2025-05-01,63046.00,0,0,0,2.57,5589.9,47,70,745.868287,1077,546.831577,1591,1627.094779,27257,0,0,0,0,0,0,0,0,838.934339,276801
2025-05-08,41687.50,0,0,0,2.1,5642.5,56,68,710.402202,1083,533.731032,2477,1742.229941,43211,0,0,0,0,0,0,0,0,931.011115,319161
2025-05-15,51180.60,0,0,0,1.93,5899.7,42,66,999.35271,1719,506.505441,3014,2055.766755,66121,0,0,0,0,0,0,0,0,1262.260864,431699
2025-05-22,90834.55,0,0,0,2.06,5878.7,55,71,1434.37932,2560,439.31181,2665,3065.493946,96527,0,0,0,0,0,0,0,0,1262.203282,448044
2025-05-29,57117.00,0,0,0,1.79,5908.5,0,73,1178.526486,2764,528.375772,3773,4693.674961,171490,0,0,0,0,0,0,0,0,2285.035826,764761
2025-06-05,60072.00,0,0,0,1.97,5963.4,62,69,1986.391828,2590,742.385905,4517,3995.526653,139762,0,0,0,0,0,0,0,0,2455.27863,678514
2025-06-12,60945.00,0,0,0,2.04,6017.8,0,69,1593.145878,1662,657.848409,4895,2851.865868,72587,0,0,0,0,0,0,0,0,2453.556715,745722
2025-06-19,35803.50,0,0,0,2.37,5991.1,81,70,1371.310338,1189,734.581568,3655,3277.655514,71588,0,0,0,0,0,0,0,0,2445.507407,716242
2025-06-26,43085.07,0,0,0,2.15,6104.7,0,63,1254.741844,1214,539.195712,2765,3897.773118,274785,0,0,0,0,0,0,0,0,2281.841239,825186
2025-07-03,64160.00,0,0,0,2.65,6227.4,45,73,1401.504157,2240,636.853018,3861,3923.820358,868182,0,0,0,0,0,0,0,0,2062.363997,728172
2025-07-10,64590.50,0,0,0,2.36,6251.8,82,75,1161.512438,2804,499.61367,3553,4187.336341,136315,0,0,0,0,0,0,0,0,1839.994311,668882
2025-07-17,53431.80,0,0,0,2.25,6274,62,80,1064.63832,2620,437.183788,5879,4055.818001,149950,0,0,0,0,0,0,0,0,1821.543927,692928
2025-07-24,50879.00,0,0,0,2.59,6345.2,55,78,1002.143001,1336,446.020195,4857,3258.4596,197391,0,0,0,0,0,0,0,0,1819.482769,764890
2025-07-31,41267.00,0,0,0,2.61,6340.2,58,74,1120.803126,1979,625.266843,6036,2058.849544,109513,0,0,0,0,0,0,0,0,1546.922666,615737
2025-08-07,59383.75,0,0,0,2.52,6340.7,42,76,1145.220732,2706,1033.314546,8760,960.950128,35280,347.78,26566,0,0,0,0,0,0,1471.82594,578066
