date,email_sessions,organic_sessisons,volume,cost_Facebook_Prospecting,cost_Google_Pmax,cost_Google_Search,cost_Facebook_Retargeting,cost_TikTok_Prospecting,cost_TikTok_Retargeting,cost_Facebook_Full Funnel,impression_Facebook_Prospecting,impression_Google_Pmax,impression_Google_Search,impression_Facebook_Retargeting,impression_TikTok_Prospecting,impression_TikTok_Retargeting,impression_Facebook_Full Funnel,new_customers,Quantity,net_sales,AOV,week_starting,Date,Retail_sales__total,GAFO_1_,unemployment,cpi,cpi_percent_change,cfi_shipments,ics,fed_rate,mei,sp,sp_pecentage_change,Health_and_personal_care_stores,Pharmacies_and_drug_stores,Miscellaneous_store_retailers,black_friday,christmas,columbus_day,cyber_monday,easter_sunday,fathers_day,good_friday,halloween,hanukkah_start,independence_day,juneteenth,labor_day,memorial_day,mothers_day,presidents_day,prime_day,small_business_saturday,thanksgiving,two_weeks_before_christmas,valentine_day,veterans_day,week_before_christmas
2023-03-11,55280,151005,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2524,13443,129867.82,9.6606278360485,2023-03-11,2023-03-11,147390.0,30610.25,0.875,75.459,1.25,0.29,15.5,1.1625,-0.2,992.14,-0.0068,9021.75,7612.0,3135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-18,185371,256777,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2539,12912,127956.45,9.909886152416355,2023-03-18,2023-03-18,147390.0,30610.25,0.875,75.459,1.25,0.29,15.5,1.1625,-0.2,992.14,-0.0068,9021.75,7612.0,3135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-25,76013,209545,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2566,15070,142134.49,9.431618447246183,2023-03-25,2023-03-25,147390.0,30610.25,0.875,75.459,1.25,0.29,15.5,1.1625,-0.2,992.14,-0.0068,9021.75,7612.0,3135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,107126,230258,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2158,9389,106873.8,11.382873575460646,2023-04-01,2023-04-01,114866.2,24471.4,0.6799999999999999,60.6726,0.9800000000000001,0.22799999999999998,12.74,0.966,-0.08,824.2940000000001,0.0077,6814.6,5765.6,2526.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-08,100867,196972,14,26.52,0.0,0.0,0.0,0.0,0.0,0.0,7078,0,0,0,0,0,0,1887,10921,101204.7,9.266981045691786,2023-04-08,2023-04-08,114866.2,24471.4,0.6799999999999999,60.6726,0.9800000000000001,0.22799999999999998,12.74,0.966,-0.08,824.2940000000001,0.0077,6814.6,5765.6,2526.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-15,81254,168069,16,175.79,0.0,0.0,0.0,0.0,0.0,0.0,33881,0,0,0,0,0,0,1522,7659,73147.79,9.550566653610131,2023-04-15,2023-04-15,114866.2,24471.4,0.6799999999999999,60.6726,0.9800000000000001,0.22799999999999998,12.74,0.966,-0.08,824.2940000000001,0.0077,6814.6,5765.6,2526.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-22,89451,181897,16,184.539996,0.0,0.0,0.0,0.0,0.0,0.0,48552,0,0,0,0,0,0,1513,8233,78809.77,9.572424389651404,2023-04-22,2023-04-22,114866.2,24471.4,0.6799999999999999,60.6726,0.9800000000000001,0.22799999999999998,12.74,0.966,-0.08,824.2940000000001,0.0077,6814.6,5765.6,2526.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-29,104484,249840,14,148.66,0.0,0.0,0.0,0.0,0.0,0.0,70069,0,0,0,0,0,0,1567,7374,77345.79,10.488986981285596,2023-04-29,2023-04-29,114866.2,24471.4,0.6799999999999999,60.6726,0.9800000000000001,0.22799999999999998,12.74,0.966,-0.08,824.2940000000001,0.0077,6814.6,5765.6,2526.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-06,49965,169117,14,46.7,0.0,0.0,0.0,0.0,0.0,0.0,27053,0,0,0,0,0,0,1286,6423,60640.8,9.44119570294255,2023-05-06,2023-05-06,153984.75,32166.75,0.9,76.03175,1.0,0.2925,14.75,1.265,-0.025,1036.5425,0.0015,9097.0,7730.75,3517.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-13,65189,181553,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1066,5261,48976.89,9.309425964645504,2023-05-13,2023-05-13,153984.75,32166.75,0.9,76.03175,1.0,0.2925,14.75,1.265,-0.025,1036.5425,0.0015,9097.0,7730.75,3517.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
